material1,material2,material3,material4
dataset822,dataset3253,dataset2406,dataset7760
dataset8193,dataset4359,dataset4003,dataset4564
dataset1653,dataset5045,dataset6708,dataset8905
dataset7330,dataset1719,dataset986,dataset6783
dataset3577,dataset8259,dataset3501,dataset9211
dataset4309,dataset7835,dataset939,dataset8076
dataset4078,dataset1988,dataset1283,dataset9850
dataset8340,dataset9022,dataset2094,dataset9828
dataset814,dataset5823,dataset1619,dataset4456
dataset7074,dataset6018,dataset1921,dataset6580
dataset4298,dataset3995,dataset8522,dataset9143
dataset1951,dataset240,dataset2179,dataset7973
dataset82,dataset2850,dataset1171,dataset1127
dataset3837,dataset4571,dataset5343,dataset3238
dataset1047,dataset6599,dataset2552,dataset6343
dataset4555,dataset1740,dataset3793,dataset6591
dataset8124,dataset1328,dataset5965,dataset1008
dataset1263,dataset4253,dataset8737,dataset2797
dataset3348,dataset5897,dataset8202,dataset9818
dataset78,dataset6846,dataset5794,dataset8519
dataset1616,dataset4689,dataset3700,dataset1153
dataset9462,dataset7391,dataset5732,dataset4540
dataset8777,dataset8287,dataset7252,dataset9182
dataset2101,dataset752,dataset8875,dataset4409
dataset1006,dataset6253,dataset8709,dataset4618
dataset4995,dataset8452,dataset2809,dataset4870
dataset135,dataset3169,dataset1357,dataset3570
dataset8097,dataset3769,dataset6322,dataset5692
dataset9490,dataset7124,dataset284,dataset5556
dataset3270,dataset7737,dataset8916,dataset7742
dataset4762,dataset5092,dataset8994,dataset9512
dataset1486,dataset607,dataset7550,dataset1245
dataset4193,dataset4344,dataset9243,dataset7648
dataset8569,dataset1210,dataset3387,dataset4254
dataset8686,dataset3330,dataset5521,dataset528
dataset1415,dataset9636,dataset2579,dataset85
dataset1456,dataset6431,dataset4772,dataset5629
dataset7199,dataset8504,dataset2085,dataset4499
dataset1438,dataset7250,dataset2835,dataset7824
dataset6268,dataset6719,dataset6109,dataset8144
dataset8010,dataset3831,dataset3332,dataset1658
dataset8657,dataset2910,dataset5750,dataset7874
dataset6478,dataset9712,dataset6331,dataset8834
dataset7400,dataset4245,dataset7204,dataset6898
dataset9467,dataset7050,dataset8986,dataset9031
dataset9035,dataset5722,dataset6933,dataset8576
dataset921,dataset10,dataset7168,dataset1501
dataset2752,dataset2097,dataset1458,dataset6187
dataset7326,dataset7390,dataset6994,dataset6660
dataset2589,dataset7512,dataset5454,dataset2433
dataset6499,dataset669,dataset973,dataset9535
dataset7580,dataset9414,dataset8961,dataset2405
dataset3281,dataset6257,dataset6143,dataset3192
dataset9034,dataset9533,dataset540,dataset3552
dataset8502,dataset2301,dataset9947,dataset5227
dataset3613,dataset307,dataset2845,dataset1846
dataset2370,dataset1368,dataset1002,dataset3317
dataset4795,dataset5931,dataset6855,dataset9080
dataset2759,dataset8003,dataset3863,dataset4756
dataset3522,dataset707,dataset2472,dataset8455
dataset5703,dataset6286,dataset3608,dataset9594
dataset7971,dataset8132,dataset30,dataset7946
dataset6505,dataset9949,dataset3829,dataset4924
dataset5572,dataset8384,dataset684,dataset1764
dataset4210,dataset2164,dataset2743,dataset5159
dataset2407,dataset5054,dataset2608,dataset6710
dataset923,dataset4229,dataset6436,dataset1121
dataset1281,dataset188,dataset5867,dataset8578
dataset5964,dataset6306,dataset143,dataset3984
dataset4280,dataset9606,dataset4782,dataset5146
dataset3359,dataset1724,dataset8243,dataset4130
dataset3428,dataset4179,dataset246,dataset8385
dataset1590,dataset4550,dataset4283,dataset9460
dataset3236,dataset428,dataset4574,dataset366
dataset6292,dataset1692,dataset116,dataset5327
dataset3788,dataset9237,dataset2664,dataset6707
dataset1898,dataset4952,dataset2110,dataset8827
dataset2965,dataset2598,dataset4510,dataset3224
dataset5977,dataset5403,dataset5952,dataset8311
dataset546,dataset9834,dataset2055,dataset6859
dataset4646,dataset530,dataset9407,dataset8797
dataset2860,dataset6171,dataset4151,dataset2056
dataset8547,dataset5282,dataset7771,dataset9724
dataset113,dataset4516,dataset9179,dataset6457
dataset5193,dataset8095,dataset7879,dataset5350
dataset3488,dataset4315,dataset6922,dataset6294
dataset7645,dataset916,dataset1571,dataset3229
dataset6402,dataset2402,dataset8640,dataset2650
dataset6095,dataset5895,dataset6080,dataset9226
dataset8408,dataset3078,dataset9844,dataset122
dataset2550,dataset507,dataset3562,dataset9618
dataset9185,dataset5384,dataset9694,dataset7662
dataset7272,dataset7056,dataset9835,dataset1380
dataset2206,dataset3486,dataset5865,dataset4097
dataset3163,dataset1936,dataset2557,dataset245
dataset5836,dataset2338,dataset8944,dataset2009
dataset1337,dataset2756,dataset8233,dataset2528
dataset1573,dataset7479,dataset1993,dataset8607
dataset2555,dataset6597,dataset5573,dataset5653
dataset4490,dataset4301,dataset903,dataset4392
dataset4145,dataset6244,dataset1552,dataset3924
dataset2916,dataset6508,dataset9078,dataset9796
dataset4599,dataset3566,dataset3204,dataset7982
dataset4341,dataset7068,dataset9328,dataset6377
dataset7416,dataset9668,dataset232,dataset1487
dataset8949,dataset4678,dataset6453,dataset5447
dataset7829,dataset8127,dataset3652,dataset152
dataset6768,dataset9939,dataset5969,dataset7653
dataset8120,dataset751,dataset4299,dataset2522
