material1,material2,material3,material4
dataset8317,dataset844,dataset1645,dataset8411
dataset5098,dataset6985,dataset6083,dataset9129
dataset2131,dataset1578,dataset9187,dataset4382
dataset1028,dataset8276,dataset5384,dataset2382
dataset4017,dataset1798,dataset8706,dataset1474
dataset7371,dataset9373,dataset6193,dataset9538
dataset4023,dataset7336,dataset2339,dataset2559
dataset9339,dataset4924,dataset2841,dataset6369
dataset3547,dataset5931,dataset6897,dataset5740
dataset1743,dataset6816,dataset4419,dataset7508
dataset5480,dataset1286,dataset9833,dataset5768
dataset2602,dataset5783,dataset8574,dataset4132
dataset8188,dataset1947,dataset5117,dataset7772
dataset2462,dataset3473,dataset400,dataset3607
dataset7,dataset3128,dataset5128,dataset3380
dataset7762,dataset2560,dataset9227,dataset3871
dataset9627,dataset6882,dataset4009,dataset4100
dataset4210,dataset3077,dataset5309,dataset9703
dataset6183,dataset5906,dataset6670,dataset7176
dataset7831,dataset5817,dataset2988,dataset8879
dataset7281,dataset6307,dataset4384,dataset9203
dataset5857,dataset2724,dataset5095,dataset6263
dataset5896,dataset2317,dataset5716,dataset1435
dataset6184,dataset8747,dataset9800,dataset519
dataset9846,dataset9205,dataset7872,dataset1865
dataset8968,dataset8247,dataset4795,dataset2725
dataset7175,dataset5449,dataset1169,dataset5763
dataset3803,dataset8976,dataset9413,dataset7957
dataset2461,dataset6703,dataset6216,dataset7578
dataset4514,dataset6968,dataset9099,dataset9954
dataset1332,dataset3899,dataset1806,dataset3406
dataset1040,dataset9760,dataset7122,dataset9560
dataset4780,dataset7591,dataset3231,dataset6833
dataset6550,dataset4323,dataset1259,dataset1011
dataset9935,dataset84,dataset406,dataset202
dataset2259,dataset6665,dataset1310,dataset1804
dataset8296,dataset3230,dataset720,dataset8056
dataset5045,dataset4770,dataset7901,dataset7653
dataset2094,dataset9575,dataset7438,dataset6641
dataset8838,dataset7290,dataset5930,dataset3612
dataset8406,dataset8099,dataset9427,dataset9202
dataset3842,dataset446,dataset7618,dataset6269
dataset670,dataset309,dataset8506,dataset6862
dataset1524,dataset3657,dataset5005,dataset3290
dataset4299,dataset9683,dataset824,dataset6993
dataset428,dataset7656,dataset3368,dataset5607
dataset5343,dataset5108,dataset6435,dataset6188
dataset8941,dataset6586,dataset6178,dataset1126
dataset1129,dataset1095,dataset7817,dataset357
dataset7309,dataset3387,dataset2295,dataset9632
dataset2949,dataset402,dataset138,dataset2995
dataset8846,dataset4225,dataset617,dataset633
dataset5508,dataset4121,dataset9566,dataset9556
dataset4219,dataset799,dataset9905,dataset6721
dataset5863,dataset8257,dataset3166,dataset3085
dataset7720,dataset8293,dataset3966,dataset9169
dataset9223,dataset7184,dataset1973,dataset9690
dataset7963,dataset1255,dataset3180,dataset7496
dataset2805,dataset6363,dataset6803,dataset1641
dataset3701,dataset9091,dataset6582,dataset4191
dataset2494,dataset1747,dataset9361,dataset4488
dataset153,dataset3675,dataset5676,dataset6556
dataset3551,dataset9770,dataset624,dataset4751
dataset5370,dataset694,dataset5220,dataset4582
dataset6283,dataset986,dataset5557,dataset2958
dataset6141,dataset1566,dataset5981,dataset7343
dataset7960,dataset8239,dataset4506,dataset5116
dataset8186,dataset4692,dataset7439,dataset8323
dataset9742,dataset1877,dataset1727,dataset6869
dataset5524,dataset1735,dataset214,dataset7427
dataset8153,dataset5830,dataset6992,dataset8309
dataset6697,dataset2290,dataset2781,dataset3827
dataset4244,dataset904,dataset3443,dataset4562
dataset9406,dataset7630,dataset3684,dataset4992
dataset4426,dataset4565,dataset66,dataset8360
dataset8675,dataset7987,dataset8582,dataset3048
dataset6176,dataset943,dataset2717,dataset5715
dataset7417,dataset4352,dataset7064,dataset5790
dataset68,dataset3240,dataset7326,dataset9647
dataset4945,dataset1581,dataset3984,dataset6490
dataset2472,dataset3216,dataset1401,dataset2270
dataset7367,dataset8518,dataset7216,dataset6223
dataset6984,dataset7106,dataset2790,dataset3652
dataset2500,dataset8083,dataset4998,dataset4119
dataset7596,dataset4020,dataset5762,dataset8071
dataset4272,dataset8504,dataset3661,dataset1335
dataset920,dataset1426,dataset7303,dataset6029
dataset1172,dataset5143,dataset841,dataset5310
dataset4518,dataset4650,dataset1125,dataset2722
dataset5299,dataset7597,dataset4057,dataset85
dataset663,dataset2943,dataset8753,dataset4611
dataset842,dataset5895,dataset4261,dataset7357
dataset6146,dataset7071,dataset5067,dataset3665
dataset3579,dataset2563,dataset5597,dataset1190
dataset9291,dataset3862,dataset9002,dataset4790
dataset4949,dataset2750,dataset2255,dataset6026
dataset8989,dataset6160,dataset7928,dataset702
dataset4238,dataset5363,dataset4730,dataset8645
