dataset,n,raw_mean,raw_min,cv_with_buffer,cv_without_buffer,cv_compression,min_over_mean_with,min_over_mean_without
0,156,151.2639905994914,12.846051342469572,0.24537012259645333,0.24699225435183012,0.993432459007131,0.0909345097810396,0.08492471533745696
1,814,39.823692494545455,3.038425576886121,0.46715909564875224,0.4788897782245264,0.9755044206220784,0.09892357428044277,0.07629693246808507
2,871,19.799244992964965,12.430237203720662,0.11496182503520538,0.1207681992214965,0.9519213317436169,0.64570791912222,0.6278136973474167
3,124,3253.501317533503,72.07812589723574,0.9077004301607684,0.9079794220349282,0.9996927332631234,0.022454477281520856,0.02215401773738286
4,35,1001.4086001304797,93.99879438060954,0.8068595328033654,0.8076652573924075,0.9990024028127156,0.09477053006951847,0.09386657391234891
5,108,44768.18885075465,0.0012426463914458992,0.7436951888180238,0.7437118009528435,0.9999776632093259,2.2364547406236254e-05,2.775735233758406e-08
6,45,8423.505901309823,116.51417213863049,1.2463305834136742,1.2464785420662847,0.9998812986765377,0.013949087758411997,0.013832028315017024
7,15,91.84621704752402,12.58837637657459,0.7746569478113845,0.7830912303840739,0.9892295019463406,0.14635358131628862,0.13705927997079054
8,22,1082.10550497473,575.074834178834,0.27568261197982197,0.27593737698259896,0.9990767289101503,0.5318732399871556,0.5314406326694212
9,5,17808.821506238084,1279.1090458204767,1.1307038844068396,1.1307673756313439,0.9999438512059398,0.07187657918818022,0.07182446325111573
10,9,38.152565318393094,15.22070892407672,0.34852878405029,0.35766391772064027,0.9744588894273494,0.4142949201966225,0.39894326363262705
11,6,1872.8334488736698,92.17195836422239,0.7677828048293475,0.7681927626957511,0.9994663346411062,0.049722646599262336,0.04921524571213474
12,558,5473.7075880323155,650.7141416002802,0.820889737693758,0.8210397072937944,0.999817341842661,0.11904090421649627,0.11887996045367824
13,100,52.41006483986244,32.60763218397116,0.2679403936437353,0.27305277796270944,0.9812769371653405,0.6292378091046279,0.622163553577026
14,117,3069.3232508316974,88.07761548559654,1.0484382623749289,1.0487798485086446,0.9996743013949005,0.02901245510923547,0.02869610278478491
15,51,863.0389084138111,687.8684219126538,0.09477301159810277,0.09488282473708658,0.998842644711642,0.797265511083601,0.7970306033790469
16,5,17.63577083501024,17.46995847812155,0.008413366026790568,0.008890428589323322,0.9463397565438334,0.9911024685613119,0.9905979523980022
17,81,1938.6524809442042,340.20079762146355,0.7023761186548059,0.7027384198539937,0.9994844437290578,0.17590821086433497,0.1754831260194564
18,9,35.54310046210108,18.08067510470667,0.45280808653243454,0.46554777667328917,0.9726350532014353,0.5221416591209954,0.5086971836907066
19,288,304.91641353858915,79.8432933176541,0.4476929964446267,0.44916124471387886,0.996731133225469,0.26426595546974896,0.26185305143486287
20,51,283.1300687550974,176.7289777138442,0.23888304655029416,0.2397267684749934,0.996480485137031,0.62551977864418,0.6241971348748256
21,5,310.3627752723652,71.53763804671156,0.6333040437230643,0.6353445720794926,0.9967883122858048,0.23296824093136737,0.23049683707697308
22,54,934.7574006895796,84.75785615396586,0.6690361457893164,0.6697518781764531,0.9989313469503281,0.09164539451226254,0.09067364012463465
23,33,203.47120254430027,180.5111417055498,0.047748017194666155,0.04798268439374692,0.9951093357521417,0.8877100513272719,0.8871581798719081
24,21,1192.1984901324508,87.59506279224264,0.609987084958812,0.6104987338914417,0.9991619164721796,0.07425006277237928,0.07347355622175886
25,548,2701.528052028288,165.80124650502037,0.3256578640579475,0.32577840985935547,0.9996299760887776,0.06172044962857407,0.06137313524489889
26,36,38.532551070284754,19.621508652833644,0.17733532630588844,0.18193754758063416,0.9747043898527541,0.5216336435301318,0.5092190396904506
27,434,4654.0291219768615,72.33165821094447,0.21225307638036384,0.21229868268638757,0.9997851785727229,0.015753211481478884,0.015541728750554235
28,9,10438.55400887299,124.88996355855024,1.2407074497399604,1.2408263079121444,0.9999042104673103,0.012058940779611022,0.01196429730136867
29,4,232.8326451227911,175.03997740233828,0.1883184035778919,0.18912721800972807,0.9957234371638959,0.75284602502741,0.7517845159128173
30,49,38.600866052374634,14.221271457719276,0.3671107728571234,0.3766212012594037,0.9747480270083632,0.38436713574870274,0.36841845564872805
31,12,922.054317213353,654.337062468292,0.3079313293012561,0.30826529154572774,0.9989166401355241,0.709965871181575,0.7096513190739562
32,700,1367.7115663077043,11.853937610299282,0.6414396778778241,0.6419086654141433,0.9992693858774806,0.009391268348067389,0.008666986448246802
33,39,9752.584182395773,364.3833222310384,0.5539124227952201,0.553969219272178,0.9998974735870118,0.03746144139407933,0.0373627456493819
34,5,2653.828620309278,2542.212971224755,0.03508371915446121,0.035096939193949114,0.9996233278516155,0.9579574936661938,0.957941651457691
35,67,2628.354849697532,32.96280018898878,1.4261948508159565,1.426737469652595,0.9996196785686363,0.012916780780994888,0.012541229047813731
36,797,93469.1667610175,1426.7641852889578,0.05709783367495725,0.05709844454842124,0.9999893013992094,0.015275079041416865,0.015264543749886169
37,897,78.21738376151288,54.13871644345699,0.25587259142152796,0.25914389223876944,0.9873765081284364,0.6960431388324351,0.6921570863137988
38,34,387.0058311612911,222.8851181575852,0.2232720783807485,0.22384900012301467,0.9974227191457227,0.5770148285851865,0.5759218601145422
39,116,463.35888107645064,309.71550470570963,0.2464764616373101,0.24700839589324733,0.997846493217311,0.6691279468703741,0.6684138738987695
40,6,389.1386830082213,83.58335639527239,0.404452701521844,0.4054920551486674,0.9974368089001341,0.21680330630913108,0.2147906647294341
41,156,39.070229786199235,20.39775181012646,0.28076895041997535,0.2879552135148279,0.9750438166854635,0.5340062166924772,0.522079136000668
