material1,material2,material3,material4
dataset640,dataset4405,dataset9417,dataset6841
dataset4584,dataset3888,dataset1332,dataset2986
dataset8596,dataset8750,dataset4285,dataset9043
dataset7782,dataset3890,dataset5521,dataset8550
dataset7893,dataset108,dataset3693,dataset182
dataset217,dataset8958,dataset4536,dataset8418
dataset8533,dataset6404,dataset9845,dataset3325
dataset2127,dataset9981,dataset6335,dataset9957
dataset2987,dataset6565,dataset8393,dataset7322
dataset7129,dataset1731,dataset4528,dataset3270
dataset79,dataset8363,dataset9660,dataset9343
dataset777,dataset4545,dataset719,dataset8875
dataset7989,dataset8924,dataset8850,dataset9184
dataset6720,dataset2520,dataset7488,dataset3079
dataset2736,dataset9186,dataset6677,dataset5076
dataset7531,dataset6680,dataset3311,dataset8397
dataset8733,dataset2910,dataset2907,dataset3089
dataset9594,dataset7577,dataset555,dataset7964
dataset4110,dataset8470,dataset4390,dataset9161
dataset1187,dataset1582,dataset1316,dataset633
dataset6539,dataset8219,dataset1043,dataset9182
dataset851,dataset7634,dataset4242,dataset9138
dataset6943,dataset9090,dataset4077,dataset8467
dataset1913,dataset9426,dataset2032,dataset4573
dataset6332,dataset5807,dataset8516,dataset3517
dataset9785,dataset6152,dataset5503,dataset4312
dataset3931,dataset7643,dataset5661,dataset3041
dataset9241,dataset3256,dataset7892,dataset2156
dataset9572,dataset5697,dataset6760,dataset609
dataset33,dataset2550,dataset1204,dataset2257
dataset5003,dataset1252,dataset7242,dataset8377
dataset4947,dataset9527,dataset6127,dataset2287
dataset5158,dataset7090,dataset9055,dataset1366
dataset7106,dataset5426,dataset8335,dataset7046
dataset9726,dataset1611,dataset6051,dataset9708
dataset2769,dataset1083,dataset2392,dataset6858
dataset6754,dataset7107,dataset2988,dataset9477
dataset4645,dataset9921,dataset419,dataset7949
dataset4904,dataset8526,dataset1006,dataset829
dataset4343,dataset1676,dataset6494,dataset8207
dataset8584,dataset4139,dataset2787,dataset3946
dataset5373,dataset7369,dataset9465,dataset8990
